smiles,atc_level1,atc_numeric
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,N - NERVOUS SYSTEM,9
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C,N - NERVOUS SYSTEM,9
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,C - CARDIOVASCULAR SYSTEM,2
CC(C)Oc1ccc(-c2nc(-c3cccc4c3CC[C@@H]4NCCO)no2)cc1C#N,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,C - CARDIOVASCULAR SYSTEM,2
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,N - NERVOUS SYSTEM,9
Cc1ccccc1-n1c(C)nc2ccccc2c1=O,N - NERVOUS SYSTEM,9
CCC1(c2ccccc2)CCC(=O)NC1=O,N - NERVOUS SYSTEM,9
C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,M - MUSCULO-SKELETAL SYSTEM,8
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,D - DERMATOLOGICALS,3
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,A - ALIMENTARY TRACT AND METABOLISM,0
CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,A - ALIMENTARY TRACT AND METABOLISM,0
CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D - DERMATOLOGICALS,3
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,S - SENSORY ORGANS,12
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,N - NERVOUS SYSTEM,9
O=[N+]([O-])[O-].[Ag+],D - DERMATOLOGICALS,3
CN1C(=O)CC(C)(c2ccccc2)C1=O,N - NERVOUS SYSTEM,9
C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCCC4[C@H]3CC[C@@]21C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NC1=NC(=O)C(c2ccccc2)O1,N - NERVOUS SYSTEM,9
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,A - ALIMENTARY TRACT AND METABOLISM,0
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,N - NERVOUS SYSTEM,9
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,R - RESPIRATORY SYSTEM,11
CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,R - RESPIRATORY SYSTEM,11
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,N - NERVOUS SYSTEM,9
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,N - NERVOUS SYSTEM,9
Cc1cc(C(=O)NNCc2ccccc2)no1,N - NERVOUS SYSTEM,9
COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,A - ALIMENTARY TRACT AND METABOLISM,0
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
NNC(=O)c1ccncc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NNC(=O)c1ccncc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,R - RESPIRATORY SYSTEM,11
C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,A - ALIMENTARY TRACT AND METABOLISM,0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,C - CARDIOVASCULAR SYSTEM,2
O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,S - SENSORY ORGANS,12
NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O,A - ALIMENTARY TRACT AND METABOLISM,0
Nc1ccc(C(=O)O)c(O)c1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,A - ALIMENTARY TRACT AND METABOLISM,0
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
NC(=O)OC[C@H](N)Cc1ccccc1,N - NERVOUS SYSTEM,9
NC[C@H](O)c1ccc(O)c(O)c1,C - CARDIOVASCULAR SYSTEM,2
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,D - DERMATOLOGICALS,3
C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,D - DERMATOLOGICALS,3
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,D - DERMATOLOGICALS,3
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,S - SENSORY ORGANS,12
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D - DERMATOLOGICALS,3
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D - DERMATOLOGICALS,3
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,D - DERMATOLOGICALS,3
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,S - SENSORY ORGANS,12
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,C - CARDIOVASCULAR SYSTEM,2
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,A - ALIMENTARY TRACT AND METABOLISM,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,C - CARDIOVASCULAR SYSTEM,2
CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
C#CCN(C)Cc1ccccc1,C - CARDIOVASCULAR SYSTEM,2
CCC(=O)NC[C@@H]1C[C@H]1c1cccc2c1CCO2,N - NERVOUS SYSTEM,9
C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,N - NERVOUS SYSTEM,9
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,S - SENSORY ORGANS,12
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,R - RESPIRATORY SYSTEM,11
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,R - RESPIRATORY SYSTEM,11
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1,S - SENSORY ORGANS,12
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,N - NERVOUS SYSTEM,9
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,D - DERMATOLOGICALS,3
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CC(N)Cc1ccccc1,N - NERVOUS SYSTEM,9
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,M - MUSCULO-SKELETAL SYSTEM,8
CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1,N - NERVOUS SYSTEM,9
Cc1ccc(-c2ccc(C)cn2)nc1,"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",10
CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,N - NERVOUS SYSTEM,9
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,C - CARDIOVASCULAR SYSTEM,2
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O,C - CARDIOVASCULAR SYSTEM,2
CCNCC(O)c1cccc(O)c1,C - CARDIOVASCULAR SYSTEM,2
CCNCC(O)c1cccc(O)c1,C - CARDIOVASCULAR SYSTEM,2
CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1,C - CARDIOVASCULAR SYSTEM,2
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,N - NERVOUS SYSTEM,9
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,N - NERVOUS SYSTEM,9
OB1OCc2cc(F)ccc21,D - DERMATOLOGICALS,3
CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,N - NERVOUS SYSTEM,9
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,A - ALIMENTARY TRACT AND METABOLISM,0
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,A - ALIMENTARY TRACT AND METABOLISM,0
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,N - NERVOUS SYSTEM,9
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,D - DERMATOLOGICALS,3
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,C - CARDIOVASCULAR SYSTEM,2
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,C - CARDIOVASCULAR SYSTEM,2
CCC1(CC)C(=O)NC(=O)N(C)C1=O,N - NERVOUS SYSTEM,9
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
Cn1c(=O)c2c(ncn2C)n(C)c1=O,N - NERVOUS SYSTEM,9
Cn1c(=O)c2c(ncn2C)n(C)c1=O,D - DERMATOLOGICALS,3
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,N - NERVOUS SYSTEM,9
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,N - NERVOUS SYSTEM,9
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,N - NERVOUS SYSTEM,9
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,7
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,N - NERVOUS SYSTEM,9
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,N - NERVOUS SYSTEM,9
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,A - ALIMENTARY TRACT AND METABOLISM,0
CN1C(=O)CC(c2ccccc2)C1=O,N - NERVOUS SYSTEM,9
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,A - ALIMENTARY TRACT AND METABOLISM,0
CC(C)C[C@H](CN)CC(=O)O,N - NERVOUS SYSTEM,9
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,D - DERMATOLOGICALS,3
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,A - ALIMENTARY TRACT AND METABOLISM,0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,S - SENSORY ORGANS,12
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,G - GENITO URINARY SYSTEM AND SEX HORMONES,4
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
CCCCNC(=N)NC(=N)N,A - ALIMENTARY TRACT AND METABOLISM,0
CC(C)Cn1cnc2c(N)nc3ccccc3c21,D - DERMATOLOGICALS,3
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,J - ANTIINFECTIVES FOR SYSTEMIC USE,6
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,A - ALIMENTARY TRACT AND METABOLISM,0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,R - RESPIRATORY SYSTEM,11
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,S - SENSORY ORGANS,12
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,S - SENSORY ORGANS,12
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,D - DERMATOLOGICALS,3
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,D - DERMATOLOGICALS,3
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,S - SENSORY ORGANS,12
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C - CARDIOVASCULAR SYSTEM,2
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,D - DERMATOLOGICALS,3
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",5
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,S - SENSORY ORGANS,12
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,M - MUSCULO-SKELETAL SYSTEM,8
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,M - MUSCULO-SKELETAL SYSTEM,8
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,M - MUSCULO-SKELETAL SYSTEM,8
